method,n_points,mean_RMSE,std_RMSE,n_spectra
Adaptive,30,0.010789693730244302,0.006482496951297584,27
Adaptive,35,0.008889990775320463,0.0050676459656395535,27
Adaptive,40,0.005841683507934437,0.0044703895843992555,27
Adaptive,45,0.004750454115949122,0.004134040723051884,27
Adaptive,50,0.0043452784648764405,0.003726709614152627,27
Adaptive,55,0.003917551696644407,0.003385388230561908,27
Adaptive,60,0.003794674653127478,0.0034291933607525226,27
Adaptive,65,0.003990985749026674,0.0033913974105865144,27
Adaptive,70,0.004068560235163855,0.003442426374222274,27
Adaptive,75,0.004085246264814485,0.0034948072992824018,27
Adaptive,80,0.004079171720247489,0.0035936230672434706,27
Adaptive,85,0.004141338280810285,0.003649825689689942,27
Adaptive,90,0.004231931220451096,0.003703488642705528,27
Random,30,0.012180246063867441,0.001805067352552385,27
Random,35,0.011430713753135037,0.0020788792831990823,27
Random,40,0.010078473786322713,0.0012563267239780102,27
Random,45,0.008954957035781084,0.0014201891051699809,27
Random,50,0.008074805656948007,0.0016639790001612331,27
Random,55,0.006930224697239151,0.001486297744203794,27
Random,60,0.006232493993871504,0.0012216508294019574,27
Random,65,0.005246356077601651,0.001507788794851165,27
Random,70,0.00471439066593713,0.0015634954264553053,27
Random,75,0.004369525066415829,0.0013362042502115831,27
Random,80,0.003954584003821415,0.0013452338363708542,27
Random,85,0.003591102305372659,0.00162183950853303,27
Random,90,0.003111575048986574,0.001392752680212458,27
Uniform,30,0.01104337129997422,0.005763979236205905,27
Uniform,35,0.010694329664630462,0.004379228012532323,27
Uniform,40,0.010523201871804319,0.005279076727397291,27
Uniform,45,0.009384011946541523,0.005147349592778406,27
Uniform,50,0.007953076087778578,0.0047295104199320875,27
Uniform,55,0.007706572253887108,0.0051978288917875004,27
Uniform,60,0.005940156093569252,0.004212118096142821,27
Uniform,65,0.005486680362943304,0.0041899054700574425,27
Uniform,70,0.005793707449358174,0.004347840399612145,27
Uniform,75,0.005269393420820162,0.00397808158807265,27
Uniform,80,0.005022703913505875,0.003902461738671252,27
Uniform,85,0.004948586504768903,0.0037572596423280378,27
Uniform,90,0.0044316104633785255,0.0034860822217818058,27
